keys,en,ru
Text/28a/text,Work around them — sometimes removing the thorn does more harm than good,"Обходить — иногда удаление шипа приносит больше вреда, чем пользы.  "
Text/28b/text,"Some thorns protect the rose,
others are best left alone","Некоторые шипы защищают розу,  другие лучше оставить в покое.  "
Label/28c/display_name,,
Text/28d/text,Every job has its monotony.,Любая работа полна рутины.  
Text/28e/text,How you face it often determines how you’re remembered — or forgotten,"То, как ты её воспринимаешь, часто определяет, как тебя запомнят — или забудут.  "
Text/28f/text,[color=#2effff][b]What’s your approach to handling boring tasks?[/b][/color],[color=#2effff][b]Как ты справляешься со скучными задачами?[/b][/color]  
Choice/290/text,[color=#6BBF59]Focus on finishing them[/color],[color=#6BBF59]Фокусируюсь на их завершении[/color]
Choice/290/disabled_text,,
Text/291/text,[color=#6BBF59]I focus on finishing them quickly to move on to more important work[/color],"[color=#6BBF59]Я фокусируюсь на их быстром выполнении, чтобы перейти к более важным делам[/color]  "
Text/292/text,"Efficient, but speed doesn’t always lead to quality","Эффективно, но скорость не всегда гарантирует качество.  "
Choice/293/text,[color=#8e59f5]I do them as needed[/color],[color=#8e59f5]Делаю их по мере необходимости[/color]
Choice/293/disabled_text,,
Text/294/text,[color=#8e59f5]I do them as needed and try to find a way to make them tolerable[/color],[color=#8e59f5]Я делаю их по мере необходимости и стараюсь найти способ сделать их терпимыми[/color]  
Text/295/text,"Practical, but tolerating monotony doesn’t inspire improvement","Практично, но терпимость к рутине не вдохновляет на улучшения.  "
Choice/296/text,[color=#f7d038]Turn them into a competition[/color],[color=#f7d038]Превращаю их в соревнование[/color]
Choice/296/disabled_text,,
Text/297/text,[color=#f7d038]I turn them into a competition with myself—who said boredom can’t be fun?[/color],"[color=#f7d038]Я превращаю их в соревнование с собой — кто сказал, что скука не может быть весёлой?[/color]  "
Text/298/text,Creative,Креативно.  
Text/299/text,Finding joy in monotony is a rare skill,Находить радость в рутине — редкий талант.  
Choice/29a/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
Choice/29a/disabled_text,,
Text/29b/text,Silence in the face of boredom risks turning apathy into habit,Молчание перед лицом скуки рискует превратить апатию в привычку.
Text/29c/text,Boredom tests patience as much as skill.,"Скука испытывает терпение так же сильно, как и умение.  "
Text/29d/text,Do you think it’s better to endure or innovate?,"Как думаешь, что лучше: терпеть или искать новые подходы?  "
Text/29e/text,"Both, but innovation makes endurance easier","И то, и другое, но инновации делают терпение проще.  "
Text/29f/text,Those who innovate turn monotony into mastery,"Те, кто создаёт новое, превращают рутину в мастерство.  "
Label/2a0/display_name,,
Text/2a1/text,This next step is my own design — a method born from years of experience.,"Следующий шаг — мой собственный метод, созданный за годы опыта.  "
Text/2a2/text,"A blitz of questions, rapid and deliberate, aimed at peeling back the surface to reveal the core of a candidate.","Всплеск вопросов, быстрых и целенаправленных, чтобы снять поверхностный слой и добраться до сути кандидата.  "
Text/2a3/text,"It’s not about perfection — it’s about instinct, reaction, and the truth that comes when thought gives way to honesty","Здесь не важна идеальность — важны инстинкт, реакция и правда, которая появляется, когда мысли уступают место честности.  "
Text/2a4/text,Consider it… my personal touch,Считай это… моим личным штрихом.  
Text/2a5/text,Don’t waste time thinking too much.,Не трать слишком много времени на размышления.  
Text/2a6/text,Let’s get on with it,Давай начнём.  
Label/2a7/display_name,,
Text/2a8/text,"The first round of blitz revealed much, but insight is fleeting if left unchecked.","Первый раунд блица многое показал, но понимание быстро исчезает, если его не закрепить.  "
Text/2a9/text,"To ensure clarity, we’ll conduct another one.","Чтобы прояснить картину, мы проведём ещё один раунд.  "
Text/2aa/text,This second round will solidify the impressions formed in the first — confirming or contradicting what we’ve learned.,"Второй раунд укрепит первые впечатления — подтвердит или опровергнет то, что мы узнали.  "
Text/2ab/text,"Consistency matters here, as does adaptability. Let’s see if the foundation holds.","Здесь важна и последовательность, и гибкость. Посмотрим, устоит ли основа.  "
Text/2ac/text,Let’s get on with it,Давай повторим. 
Label/2ad/display_name,,
Text/2ae/text,[color=#2effff][b]What is the most important skill for survival here?[/b][/color],[color=#2effff][b]Какой навык здесь самый важный для выживания?[/b][/color]  
Choice/2af/text,Adaptation to unpredictability,Адаптация к непредсказуемости  
Choice/2af/disabled_text,,
Text/2b0/text,Adaptation to unpredictability,Адаптация к непредсказуемости  
Choice/2b1/text,Obedience to every rule,Подчинение всем правилам  
Choice/2b1/disabled_text,,
Text/2b2/text,Obedience to every rule,Подчинение всем правилам  
Choice/2b3/text,. . .,. . .  
Choice/2b3/disabled_text,,
Label/2b4/display_name,,
Text/2b5/text,[color=#2effff][b]What do you do when the shadows start moving?[/b][/color],"[color=#2effff][b]Что ты будешь делать, если тени начнут двигаться?[/b][/color]  "
Choice/2b6/text,Stand still and observe,Останусь на месте и буду наблюдать  
Choice/2b6/disabled_text,,
Text/2b7/text,Stand still and observe,Останусь на месте и буду наблюдать  
Choice/2b8/text,Run in the opposite direction.,Побегу в противоположную сторону  
Choice/2b8/disabled_text,,
Text/2b9/text,Run in the opposite direction.,Побегу в противоположную сторону  
Choice/2ba/text,. . .,. . .  
Choice/2ba/disabled_text,,
Label/2bb/display_name,,
Text/2bc/text,[color=#2effff][b]What is the function of the locked room on the third floor?[/b][/color],[color=#2effff][b]Для чего используется запертая комната на третьем этаже?[/b][/color]  
Choice/2bd/text,To store forgotten records.,Для хранения забытых записей  
Choice/2bd/disabled_text,,
Text/2be/text,To store forgotten records.,Для хранения забытых записей  
Choice/2bf/text,To preserve the essence of secrecy,Для сохранения сути тайны  
Choice/2bf/disabled_text,,
Text/2c0/text,To preserve the essence of secrecy,Для сохранения сути тайны  
Choice/2c1/text,. . .,. . .  
Choice/2c1/disabled_text,,
Label/2c2/display_name,,
Text/2c3/text,"[color=#2effff][b]If a co-worker disappears, what’s your first step?[/b][/color]","[color=#2effff][b]Что ты сделаешь, если пропадёт коллега?[/b][/color]  "
Choice/2c4/text,Look for them immediately,Сразу начну искать его  
Choice/2c4/disabled_text,,
Text/2c5/text,Look for them immediately.,Сразу начну искать его  
Choice/2c6/text,File a report and continue working,Составлю отчёт и продолжу работать  
Choice/2c6/disabled_text,,
Text/2c7/text,File a report and continue working,Составлю отчёт и продолжу работать  
Choice/2c8/text,. . .,. . .  
Choice/2c8/disabled_text,,
Label/2c9/display_name,,
Text/2ca/text,[color=#2effff][b]Why is silence more valuable than answers?[/b][/color],"[color=#2effff][b]Почему молчание ценнее, чем ответы?[/b][/color]  "
Choice/2cb/text,Speaking reveals too much,Речь слишком многое раскрывает  
Choice/2cb/disabled_text,,
Text/2cc/text,Because speaking reveals too much,Потому что речь слишком многое раскрывает  
Choice/2cd/text,It lets mystery grow,Оно позволяет тайне расти  
Choice/2cd/disabled_text,,
Text/2ce/text,Because it leaves room for mystery to grow,Потому что оно оставляет место для роста тайны  
Choice/2cf/text,. . .,. . .  
Choice/2cf/disabled_text,,
Text/2d0/text,Not this time,Не в этот раз.  
Label/2d1/display_name,,
Text/2d2/text,[color=#2effff][b]What does the phrase “the floor remembers” mean?[/b][/color],[color=#2effff][b]Что значит фраза «пол помнит»?[/b][/color]  
Choice/2d3/text,Every step leaves a mark,Каждый шаг оставляет след  
Choice/2d3/disabled_text,,
Text/2d4/text,Every step taken here leaves a permanent mark,Каждый шаг здесь оставляет неизгладимый след  
Choice/2d5/text,The floor keeps secrets,Пол хранит секреты  
Choice/2d5/disabled_text,,
Text/2d6/text,The floor records secrets of those who walk on it,"Пол записывает секреты тех, кто по нему ходит  "
Choice/2d7/text,. . .,. . .  
Choice/2d7/disabled_text,,
Label/2d8/display_name,,
Text/2d9/text,[color=#2effff][b]Why is eye contact discouraged with the mirrors in the west wing?[/b][/color],[color=#2effff][b]Почему не стоит смотреть в зеркала в западном крыле?[/b][/color]  
Choice/2da/text,They reflect more than you,"Они отражают больше, чем тебя  "
Choice/2da/disabled_text,,
Text/2db/text,They reflect more than just your image,"Они отражают больше, чем просто твоё изображение  "
Choice/2dc/text,They’re fragile and need protection,Они хрупкие и требуют защиты  
Choice/2dc/disabled_text,,
Text/2dd/text,They are fragile and must be protected,Они хрупкие и должны быть защищены  
Choice/2de/text,. . .,. . .  
Choice/2de/disabled_text,,
Label/2df/display_name,,
Text/2e0/text,[color=#2effff][b]What should you do if a file disappears from your desk?[/b][/color],"[color=#2effff][b]Что делать, если с твоего стола пропала папка?[/b][/color]  "
Choice/2e1/text,Report to the supervisor,Сообщить начальнику  
Choice/2e1/disabled_text,,
Text/2e2/text,Report it to the supervisor immediately,Сразу сообщить об этом начальнику  
Choice/2e3/text,Trust it’s in place,"Довериться, что она на своём месте  "
Choice/2e3/disabled_text,,
Text/2e4/text,Trust that it’s where it needs to be,"Довериться, что она там, где и должна быть  "
Choice/2e5/text,. . .,. . .  
Choice/2e5/disabled_text,,
Label/2e6/display_name,,
Text/2e7/text,[color=#2effff][b]Why must we always speak in riddles when discussing secrets?[/b][/color],"[color=#2effff][b]Почему, обсуждая секреты, мы всегда говорим загадками?[/b][/color]  "
Choice/2e8/text,It confuses unwanted listeners,Они запутывают нежелательных слушателей  
Choice/2e8/disabled_text,,
Text/2e9/text,It confuses unwanted listeners,Они запутывают нежелательных слушателей  
Choice/2ea/text,It strengthens their allure,Они усиливают их притягательность  
Choice/2ea/disabled_text,,
Text/2eb/text,It strengthens their allure,Они усиливают их притягательность  
Choice/2ec/text,. . .,. . .  
Choice/2ec/disabled_text,,
Label/2ed/display_name,,
Text/2ee/text,[color=#2effff][b]What should you do if the clock shows a time that doesn’t exist?[/b][/color],"[color=#2effff][b]Что делать, если часы показывают несуществующее время?[/b][/color]  "
Choice/2ef/text,Ignore it; time is malleable here,Игнорировать это — время здесь изменчиво  
Choice/2ef/disabled_text,,
Text/2f0/text,Ignore it; time is malleable here,Игнорировать это — время здесь изменчиво  
Choice/2f1/text,Reset the clock to the correct time,Сбросить часы на правильное время  
Choice/2f1/disabled_text,,
Text/2f2/text,Reset the clock to the correct time,Сбросить часы на правильное время  
Choice/2f3/text,. . .,. . .  
Choice/2f3/disabled_text,,
Label/2f4/display_name,,
Text/2f5/text,. . .,. . .  
Text/2f6/text,Interesting.,Интересно.  
Text/2f7/text,Far more revealing than you might have intended. Your answers have shown me aspects of your character — maybe more than you expected.,"Это оказалось куда более откровенным, чем ты мог предполагать. Твои ответы показали мне черты твоего характера — возможно, больше, чем ты ожидал.  "
Text/2f8/text,"You've painted a clearer picture of who you are, or perhaps who you're trying to be.","Ты нарисовал ясный портрет того, кто ты есть, или, может быть, того, кем ты хочешь быть.  "
Text/2f9/text,"You’ve given me plenty to consider, but the real test still lies ahead","Ты дал мне пищу для размышлений, но настоящий экзамен ещё впереди.  "
Label/2fa/display_name,,
Text/2fb/text,. . .,. . .  
Text/2fc/text,Fascinating.,Захватывающе.  
Text/2fd/text,Your answers were more illuminating than you may realize,"Твои ответы оказались более показательными, чем ты можешь себе представить.  "
Text/2fe/text,Each one has painted a clearer picture of who you are,"Каждый из них сложил более чёткую картину того, кто ты есть.  "
Text/2ff/text,"... or perhaps, who you wish to be","...или того, кем ты стремишься стать.  "
Text/300/text,Time will tell if my trust is well-placed.,"Время покажет, оправдаешь ли ты моё доверие.  "
Label/301/display_name,,
Text/302/text,"Well, look at that.","Ну, надо же.  "
Text/303/text,You’ve managed to impress me — a feat few achieve.,"Тебе удалось произвести на меня впечатление — достижение, редкое для других.  "
Text/304/text,"My stage of this process is rarely kind to candidates, but you held your own.","Мой этап этого процесса редко бывает снисходительным к кандидатам, но ты справился.  "
Text/305/text,"Resilience, adaptability, a spark of wit—I see potential in you.","Выносливость, гибкость, искра остроумия — я вижу в тебе потенциал.  "
Text/306/text,The final test awaits with our esteemed leader.,Последнее испытание ждёт тебя у нашего уважаемого лидера.  
Text/307/text,"I’ll be sending my recommendations along, and I’ll make sure they know you’ve earned the chance to move forward.","Я отправлю свои рекомендации и позабочусь, чтобы все знали, что ты заслужил шанс двигаться дальше.  "
Text/308/text,Good luck.,Удачи.  
Text/309/text,"And remember, if you’ve come this far, you’re stronger than you think.","И помни: если ты дошёл до этого момента, ты сильнее, чем думаешь."
Label/30a/display_name,,
